产品名称,产品编号,整体尺寸,颜色版本,序号,物料编码,部件编号,物料名称,规格型号,材质,颜色,属性,数量
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,1,LG05254BH,X01,254拉杆,Ø5x254mm,Q195,黑砂纹,零件,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,2,SLHGZZ002BH,BL,325mm布抽条左,325x25x23mm,PP&GF40,黑色,零件,9
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,3,SLHGZY002BH,BR,325mm布抽条右,325x25x23mm,PP&GF40,黑色,零件,9
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,4,ZJG150654BH,M,54底脚(螺纹长23mm),80x15x15,Q195,黑砂纹,零件,4
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,5,LG05595BH,X02,595拉杆,Ø5x595mm,Q195,黑砂纹,零件,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,6,LGS133XQYHLBH,G,LGS133-底部横杆右-前,714x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,7,LGS133XHYHLBH,F,LGS133-底部横杆右-后,714x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,8,LGS133XQZHLBH,K,LGS133-底部横杆左-前_组件,754x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,9,LGS133XHZHLBH,J,LGS133-底部横杆左-后_组件,754x15x15mm,Q195,黑砂纹,零件,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,10,LGS133DB201BH,A,LGS133-顶面板,734x350x12mm,PB,复古色,零件,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,11,LGS133ZYKBH,C,LGS133_233中框,584x335x15mm,Q195,黑砂纹,零件,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,12,LGS133YKBH,E,LGS133右侧框,659x335x15mm,Q195,黑砂纹,零件,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,13,LGS133ZKBH,D,LGS133左侧框,659x335x15mm,Q195,黑砂纹,零件,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,14,LGS133SZQHLBH,S,LGS133顶部横杆,466x15x15mm,Q195,黑砂纹,零件,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,15,BC458327171KD,Y07,LGS布抽46x32.5x17.3,460x325x173mm,MDF&无纺布,复古色,零件,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,16,BC458327186KD,Y06,LGS布抽46x32.5x18.7,460x325x187mm,MDF&无纺布,复古色,零件,8
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,17,BCDB44831723BH,Z08,LGS布抽底板32.5x46,455x320x3mm,MDF&无纺布,黑色,零件,9
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,18,LGS133ZFXKD,无,中封箱,820×485×140mm,瓦楞纸,纸色,包材,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,19,ZHJ5050120,无,纸护角,80×80×130mm,瓦楞纸,纸色,包材,4
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,20,SCPPHJ505030,无,双层PP护角,50×50×30mm,PP,黑色,包材,4
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,21,LGS133PM001,无,泡沫,"20kg,472×130×10mm",EPS泡沫,白色,包材,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,22,LGS133PM002,无,泡沫,"16kg,740×50×34mm",EPS泡沫,白色,包材,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,23,LGS133ZK,无,纸卡,单瓦785×60mm,瓦楞纸单瓦,纸色,包材,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,24,LGS133SMS,无,说明书,A4,铜版纸,黑白,包材,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,25,XHBBL010,无,序号标BL,∅10mm,不干胶纸,白底黑字,包材,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,26,XHBBR010,无,序号标BR,∅10mm,不干胶纸,白底黑字,包材,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,27,JGB120052,无,警告标,120×52mm,不干胶纸,按样,包材,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,1,LNSLSD65254BZ,1,L型内六角带十字螺丝刀,S4,#10,镀锌,五金包,1
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,2,NLPLS6022BH,2,M6x22内六角螺丝,M6x22mm,#10,黑色,五金包,16+2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,3,NLPLS6010BH,3,M6x10内六角螺丝,M6x10mm,#10,黑色,五金包,8+2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,4,BCLS129228BH,4,把手,129x22x8mm,PP&GF40,黑色,五金包,9
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,5,ZGLS4010CZ,5,ST4x10圆头十字自攻螺丝,ST4x10mm,#10,黑色,五金包,18+2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,6,SLPZLS6030WH,6,塑料膨胀螺丝,6x30mm,PP,白色,五金包,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,7,ZGLS3560BH,6,自攻螺丝,M3.5*60mm,#10,黑色,五金包,2
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,8,TZJD629825BH,7,10-底脚,M6x10mm,PP&镀锌碳钢,黑色,五金包,8
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,9,NLDP15508020BH,8,尼龙垫片,外径15.5×内孔8.0×厚2.0mm,PP,黑色,五金包,4
BOM - LGS133-3列3层9抽-57inch,LGS133KD02S,350Dx1468Wx681Hmm,复古色,10,MS6030YS,9,6x30木榫,Ø6x30mm,木,木色,五金包,3
