tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,1,LG05254BH,X01,254 thanh đũa,Ø5x254mm,Q195,đen nhám,linh kiện,2
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,2,SLHGZZ001BH,BL,280mm Thanh ngăn kéo trái,280x25x23mm,PP&GF40,màu đen,linh kiện,5
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,3,SLHGZY001BH,BR,280mm Thanh ngăn kéo phải,280x25x23mm,PP&GF40,màu đen,linh kiện,5
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,4,DD0900,R,900-đèn LED,"DC12V, SMD5050, 900mm",FPCB,đen bóng,linh kiện,1
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,5,DD0900,R1,kẹp cố định đèn,theo thực tế,PP,màu tự nhiên,linh kiện,5
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,6,LGS723SZKBH,I,LGS333_723_733 khung đỡ,290x178x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,7,LGS723CB101KD,C,LGS723-tấm tầng,947x300x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,8,LGS723DB101KD,A,LGS723-Mặt bàn trên,987x300x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,9,LGS723XZQSLBH,L1,LGS723_733 thanh dọc giữa-trước,198x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS723-2 列 2 层 5 tủ ngăn kéo-39inch,LGS723KD05S,300Dx987Wx681Hmm,màu gỗ cổ,10,LGS723XZHSLBH,L2,LGS723_733 thanh dọc giữa-sau,198x15x15mm,Q195,đen nhám,linh kiện,1
